,CPI,Core CPI,PPI
2000-01-01,169.3,179.3,128.3
2000-02-01,170.0,179.4,129.8
2000-03-01,171.0,180.0,130.8
2000-04-01,170.9,180.3,130.7
2000-05-01,171.2,180.7,131.6
2000-06-01,172.2,181.1,133.8
2000-07-01,172.7,181.5,133.7
2000-08-01,172.7,181.9,132.9
2000-09-01,173.6,182.3,134.7
2000-10-01,173.9,182.6,135.4
2000-11-01,174.2,183.1,135.0
2000-12-01,174.6,183.3,136.2
2001-01-01,175.6,183.9,140.0
2001-02-01,176.0,184.4,137.4
2001-03-01,176.1,184.7,135.9
2001-04-01,176.4,185.1,136.4
2001-05-01,177.3,185.3,136.8
2001-06-01,177.7,186.0,135.5
2001-07-01,177.4,186.4,133.4
2001-08-01,177.4,186.7,133.4
2001-09-01,178.1,187.1,133.3
2001-10-01,177.6,187.4,130.3
2001-11-01,177.5,188.1,129.8
2001-12-01,177.4,188.4,128.1
2002-01-01,177.7,188.7,128.5
2002-02-01,178.0,189.1,128.4
2002-03-01,178.5,189.2,129.8
2002-04-01,179.3,189.7,130.8
2002-05-01,179.5,190.0,130.8
2002-06-01,179.6,190.2,130.9
2002-07-01,180.0,190.5,131.2
2002-08-01,180.5,191.1,131.5
2002-09-01,180.8,191.3,132.3
2002-10-01,181.2,191.5,133.2
2002-11-01,181.5,191.9,133.1
2002-12-01,181.8,192.1,132.9
2003-01-01,182.6,192.4,135.3
2003-02-01,183.6,192.5,137.6
2003-03-01,183.9,192.5,141.2
2003-04-01,183.2,192.5,136.8
2003-05-01,182.9,192.9,136.7
2003-06-01,183.1,193.0,138.0
2003-07-01,183.7,193.4,137.7
2003-08-01,184.5,193.6,138.0
2003-09-01,185.1,193.7,138.5
2003-10-01,184.9,194.0,139.3
2003-11-01,185.0,194.0,138.9
2003-12-01,185.5,194.2,139.5
2004-01-01,186.3,194.6,141.4
2004-02-01,186.7,194.9,142.1
2004-03-01,187.1,195.5,143.1
2004-04-01,187.4,195.9,144.8
2004-05-01,188.2,196.2,146.8
2004-06-01,188.9,196.6,147.2
2004-07-01,189.1,196.8,147.4
2004-08-01,189.2,196.9,148.0
2004-09-01,189.8,197.5,147.7
2004-10-01,190.8,197.9,150.0
2004-11-01,191.7,198.3,151.4
2004-12-01,191.7,198.6,150.2
2005-01-01,191.6,199.0,150.9
2005-02-01,192.4,199.4,151.6
2005-03-01,193.1,200.1,153.7
2005-04-01,193.7,200.2,155.0
2005-05-01,193.6,200.5,154.3
2005-06-01,193.7,200.6,154.3
2005-07-01,194.9,200.9,156.3
2005-08-01,196.1,201.1,157.6
2005-09-01,198.8,201.3,162.2
2005-10-01,199.1,202.0,166.2
2005-11-01,198.1,202.5,163.7
2005-12-01,198.1,202.8,163.0
2006-01-01,199.3,203.2,164.3
2006-02-01,199.4,203.6,161.8
2006-03-01,199.7,204.3,162.2
2006-04-01,200.7,204.8,164.3
2006-05-01,201.3,205.4,165.8
2006-06-01,201.8,205.9,166.1
2006-07-01,202.9,206.3,166.8
2006-08-01,203.8,206.8,167.9
2006-09-01,202.8,207.2,165.4
2006-10-01,201.9,207.6,162.2
2006-11-01,202.0,207.8,164.6
2006-12-01,203.1,208.1,165.6
2007-01-01,203.437,208.6,164.0
2007-02-01,204.226,209.135,166.8
2007-03-01,205.288,209.418,169.3
2007-04-01,205.904,209.747,171.4
2007-05-01,206.755,210.058,173.3
2007-06-01,207.234,210.392,173.8
2007-07-01,207.603,210.773,175.1
2007-08-01,207.667,211.119,172.4
2007-09-01,208.547,211.554,173.5
2007-10-01,209.19,212.077,174.7
2007-11-01,210.834,212.66,179.0
2007-12-01,211.445,213.168,178.6
2008-01-01,212.174,213.771,181.0
2008-02-01,212.687,213.939,182.7
2008-03-01,213.448,214.42,187.9
2008-04-01,213.942,214.56,190.9
2008-05-01,215.208,214.936,196.6
2008-06-01,217.463,215.424,200.5
2008-07-01,219.016,215.965,205.5
2008-08-01,218.69,216.393,199.0
2008-09-01,218.877,216.713,196.9
2008-10-01,216.995,216.788,186.4
2008-11-01,213.153,216.947,176.8
2008-12-01,211.398,216.925,170.9
2009-01-01,211.933,217.346,171.2
2009-02-01,212.705,217.792,169.3
2009-03-01,212.495,218.253,168.1
2009-04-01,212.709,218.706,169.1
2009-05-01,213.022,218.904,170.8
2009-06-01,214.79,219.112,174.1
2009-07-01,214.726,219.263,172.5
2009-08-01,215.445,219.496,175.0
2009-09-01,215.861,219.92,174.1
2009-10-01,216.509,220.501,175.2
2009-11-01,217.234,220.666,177.4
2009-12-01,217.347,220.881,178.1
2010-01-01,217.488,220.633,181.9
2010-02-01,217.281,220.731,181.0
2010-03-01,217.353,220.783,183.3
2010-04-01,217.403,220.822,184.4
2010-05-01,217.29,220.962,184.8
2010-06-01,217.199,221.194,183.5
2010-07-01,217.605,221.363,184.1
2010-08-01,217.923,221.509,184.9
2010-09-01,218.275,221.711,184.9
2010-10-01,219.035,221.83,186.6
2010-11-01,219.59,222.149,187.7
2010-12-01,220.472,222.343,189.7
2011-01-01,221.187,222.803,192.7
2011-02-01,221.898,223.213,195.8
2011-03-01,223.046,223.454,199.2
2011-04-01,224.093,223.727,203.1
2011-05-01,224.806,224.175,204.1
2011-06-01,224.806,224.697,203.9
2011-07-01,225.395,225.218,204.6
2011-08-01,226.106,225.862,203.2
2011-09-01,226.597,226.118,203.7
2011-10-01,226.75,226.506,201.1
2011-11-01,227.169,226.899,201.4
